"","X","descr"
"15",16,"TO ADOPT USSR (ORAL) AMENDMENT REPLACING THE 1ST COMM. DRAFT RESOLUTION (A/54/REV.1) WITH THE FOLLOWING:  \TAKING INTO CONSIDERATION THE QUESTION RAISED BY THE WORLD FEDERATION OF TRADE UNIONS CONCERNING ITS PARTICIPATION IN THE WORK OF THE ECO"
"16",17,"TO ADOPT THE 1ST COMM. DRAFT RESOLUTION (A/54/REV.1) PROVIDING THAT THE E.S.C. ARRANGE FOR CONSULTATIVE COLLABORATION WITH NON-GOVERNMENTAL ORGANIZATIONS, INTERNATIONAL, NATIONAL OR REGIONAL."
"17",18,"TO REQUIRE 2/3 MAJORITY RULE IN VOTING ON THE QUESTION OF TREATMENT OF INDIANS IN THE UNION OF SOUTH AFRICA."
"18",19,"TO ADOPT S. AFRICA AMENDMENT (A/205/ADD.1) TO JOINT 1ST/6TH COMM. DRAFT RESOLUTION (A/205), PROVIDING THAT THE TREATMENT OF INDIANS IN SOUTH AFRICA SHOULD BE IN CONFORMITYWITH INTERNATIONAL OBLIGATIONS PROVIDED UNDER THE CHARTER AND BY AGREEMEN"
"19",20,"TO ADOPT JOINT 1ST/6TH COMM. DRAFT RESOLUTION (A/205) PROVIDING THAT THE TREATMENT OF INDIANS IN SOUTH AFRICA SHOULD BE IN CONFORMITY WITH INTERNATIONAL OBLIGATIONS PROVIDED UNDER THE CHARTER AND BY AGREEMENTS BETWEEN INDIA AND SOUTH AFRICA."
"20",21,"TO ADOPT WHOLE 1ST COMM. DRAFT RESOLUTION (A/241) RECOMMENDING THE SECURITY COUNCIL TO CONSIDER ADEQUATE REMEDIAL MEASURES, IF THERE SHOULD NOT BE ESTABLISHED IN SPAIN WITHIN A REASONABLE PERIOD OF TIME A FREELY-ELECTED, FULLY-REPRESENTATIVE DE"
"21",22,"TO ADOPT BELGIAN ORAL PROPOSAL TO SURRENDER BELGIUM'S SEAT IN THE E.S.C., PROVIDING THAT THE NETHERLANDS AND TURKEY BE THEREBY ELECTED TO THE 2 REMAINING VACANCIES."
"22",23,"TO ADOPT 1ST COMM. DRAFT RESOLUTION (A/235) REQUESTING MODERATED USE OF THE VETO IN THE SECURITY COUNCIL THROUGH CONSULTATION BETWEEN PERMANENT MEMBERS AND RECOMMENDING ADOPTION BY SAID COUNCIL OF PRACTICES AND PROCEDURES DIMINISHING THE DEFECT"
"23",24,"TO ADOPT USSR ORAL RESOL. REJECTING 8 DRAFT TRUSTEESHIP AGREEMENTS (A/258 AND ADD. 1 AND CORR. 2, CORR. 3, AND REV. 1) SUBMITTED TO THE ASSEMBLY BY ADMINISTERING POWERS AS BEING CONTRARY TO THE REQUIREMENTS OF THE CHARTER CONCERNING THE INTERNA"
"24",25,"TO ADOPT THE TRUSTEESHIP AGREEMENT FOR NEW GUINEA SUBMITTED BY AUSTRALIA, ON THE BASIS OF 4TH COMM. DRAFT RESOL. (A/258 AND ADD. 1, CORR. 2, CORR. 3, REV.1) WHICH APPROVES EACH OF THE 8 TRUSTEESHIP AGREEMENTS."
"25",26,"TO ADOPT THE TRUSTEESHIP AGREEMENT FOR RUANDA-URUNDI SUBMITTED BY BELGIUM, INCLUDING THE PROPOSAL ON THE PREAMBLE.  THE AGREEMENT INCLUDING PROPOSAL IS APPROVED BY THE 4TH COMM. DRAFT RESOL. (A/258 AND ADD. 1, CORR. 2, CORR. 3, REV. 1)"
"26",27,"TO ADOPT THE TRUSTEESHIP AGREEMENT FOR THE FRENCH CAMEROONS  SUBMITTED BY FRANCE, INCLUDING THE PROPOSAL ON THE PREAMBLE. THE AGREEMENT AND PROPOSAL ARE APPROVED BY THE 4TH COM. COMM. DRAFT RESOL. (A/258 AND ADD. 1, CORR. 2, CORR. 3, REV.1)."
"27",28,"TO ADOPT THE TRUSTEESHIP AGREEMENT FOR FRENCH TOGOLAND SUBMITTED BY FRANCE; SAID AGREEMENT APPROVED IN 4TH COMM DRAFT RESOL. (A/258 AND ADD. 1, CORR. 2, CORR. 3 AND REV.1)."
"28",29,"TO ADOPT TRUSTEESHIP AGREEMENT FOR WESTERN SAMOA SUBMITTED BY NEW ZEALAND; SAID AGREEMENT WAS APPROVED IN 4TH COMM. DRAFT RESOL. (A/258 AND ADD. 1, CORR. 2, CORR. 3, AND REV.1)."
"29",30,"TO ADOPT TRUSTEESHIP AGREEMENT FOR TANGANYIKA SUBMITTED BY THE U.K.; AGREEMENT WAS APPROVED IN 4TH COMMITTEE DRAFT RESOL. (A/258 AND ADD. 1, CORR. 2, CORR. 3, REV.1)."
"30",31,"TO ADOPT TRUSTEESHIP AGREEMENT FOR THE BRITISH CAMEROONS SUBMITTED BY THE U.K., APPROVED IN A 4TH COMM. DRAFT RESOLUTION (A/258 AND ADD. 1, CORR. 2, CORR. 3, REV.1)."
"31",32,"TO ADOPT THE TRUSTEESHIP AGREEMENT FOR BRITISH TOGOLAND SUBMITTED BY THE U.K.; AGREEMENT WAS APPROVED IN 4TH COMM. DRAFT RESOL. (A/258 AND ADD. 1, CORR. 2, CORR. 3, REV.1)."
"32",33,"TO ADOPT 3-POWER DRAFT RESOL. (A/250/ADD.1/REV.1) INVITING THE UNION OF SOUTH AFRICA TO SUBMIT A TRUSTEESHIP AGREEMENT FOR SOUTH WEST AFRICA, FOR THE GENERAL ASSEMBLY WILL NOT ACCEDE TO INCORPORATION OF THAT TERRITORY INTO SOUTH AFRICA."
"33",34,"TO REQUIRE A 2/3 MAJORITY RULE IN VOTING ON THE 4TH COMMITTEE DRAFT RESOL. (A/251) PROVIDING FOR REGIONAL CONFERENCES OF REPRESENTATIVES OF NON-SELF-GOVERNING TERRITORIES TO BE HELD IN ORDER TO DETERMINE THE WILL OF SAID TERRITORIES"
"34",35,"TO ADOPT A CUBAN AMENDMENT TO A 4TH COMMITTEE DRAFT RESOLUTION (A/251), SAID AMENDMENT PROVIDING THAT THE ADMINISTERING POWERS (INSTEAD OF THE ECONOMIC AND SOCIAL COUNCIL) CONVOKE A FULLY REPRESENTATIVE CONFERENCE OF APPOINTED OR ELECTED REPRES"
"35",36,"TO ADOPT 4TH COMM.DRAFT RESOL. (A/251) AS AMENDED BY THE CUBAN PROPOSAL THAT THE CONFERENCE BE CONVOKED BY THE ADMINISTERING POWERS."
"36",37,"TO ADOPT PARAGRAPHS 4, 5 AND 6 OF THE 4TH COMM. DRAFT RESOL. (A/249) ON THE TRANSMISSION OF INFORMATION FROM NON-SELF-GOVERNING TERRITORIES, SAID PARAGRAPHS INVITING THE SECRETARY-GENERAL TO CONVENE AN AD. HOC. COMMITTEE CONSISTING OF REPRESENT"
"37",38,"TO ADOPT THE PERMANENT HEADQUARTERS COMMITTEE DRAFT RESOLUTIONS I AND II (A/277) ACCEPTING THE TERMS OF THE NEW YORK CITY ENDOWMENT AND PROVIDING FOR A PLANNING COMMISSION TO DEVELOP THE NEW UN HEADQUARTERS SITE."
"38",39,"TO ADOPT A USSR AMENDMENT TO JOINT 2ND/3RD COMM. DRAFT RESOL. (A/246), ADDING THE WORDS \AND ALSO THE RIGHTS TO PRESENT WRITTEN AND VERBAL STATEMENTS TO THE ECONOMIC AND SOCIAL COUNCIL ON ALL MATTERS OF CONCERN FOR THE FEDERATION.\\ THE DRAFT R"""
"39",40,"TO ADOPT THE JOINT 2ND/3RD COMM. DRAFT RESOL. (A/246) ALLOWING THE WORLD FEDERATION OF TRADE UNIONS TO SUBMIT ITEMS FOR INCLUSION IN THE E.S.C. PROVISIONAL AGENDA."
"40",41,"TO ADOPT THE JOINT 2ND/3RD COMMITTEE DRAFT RESOLUTION (A/264) CONCERNING CONSULTATION ARRANGEMENTS WITH NON-GOVERNMENTAL ORGANIZATIONS."
"41",42,"TO ADOPT 5TH COMM. DRAFT RESOL. (A/275) ON THE FINANCING AND BUDGET OF THE INTERNATIONAL REFUGEE ORGANIZATION."
"42",43,"TO ADOPT THE UKRAINIAN DRAFT RESOL. (A/281) CONVENING THE 2ND GENERAL ASSEMBLY REGULAR SESSION IN EUROPE AND AUTHORIZING THE SEC. GEN. TO DETERMINE THE SPECIFIC PLACE THERE."
"43",44,"TO ADOPT A GENERAL COMM. RECOMMENDATION (A/392) TO INCLUDE ITEM 60 ON THE QUESTION OF KOREAN INDEPENDENCE, IN THE AGENDA."
"44",45,"TO ADOPT A UK AMENDMENT (A/417) TO THE 3RD COMM. DRAFT RESOL. (A/412) APPROVING THE HEREIN-ANNEXED PROTOCOLS EFFECTING TRANSFER TO THE UN OF THE LEAGUE OF NATIONS FUNCTIONS AND POWERS OVER TRAFFIC IN WOMEN AND CHILDREN AND IN OBSCENE PUBLICATIO"
"45",46,"TO ADOPT 1ST COMMITTEE REPORT (A/409/CORR.1) INCLUDING A RESOLUTION ESTABLISHING A SPECIAL COMMITTEE TO SUPERVISE COMPLIANCE OF ALBANIA, BULGARIA, YUGOSLAVIA AND GREECE WITH PEACE MEASURES RECOMMENDED THEREIN.  THE 1ST COMMITTEE REPORT RELATES"
"46",47,"TO ADOPT POLISH DRAFT RESOL. (A/411) CALLING FOR WITHDRAWAL OF ALL FOREIGN TROOPS, MISSIONS, INSTRUCTORS, AND EXPERTS FROM GREECE."
"47",48,"TO ADOPT USSR DRAFT RESOL. (A/C91/199) CALLING FOR IMMEDIATE WITHDRAWAL OF ANGLO-AMERICAN FORCES AND SPECIALISTS FROM GREECE."
"48",49,"TO ADOPT USSR DRAFT RESOL. (A/439) PROVIDING FOR DIRECT APPLICATION BY NON-SELF-GOVERNING TERRITORIES FOR PARTICIPATION IN THE E.C.A.F.E."
"49",50,"TO REQUIRE 2/3 MAJORITY RULE IN THE VOTING ON 4TH COMMITTEE DRAFT RESOL. (A/422), REQUESTING FROM SOUTH AFRICA A TRUSTEESHIP AGREEMENT FOR SOUTH WEST AFRICA."
"50",51,"TO ADOPT DANISH AMENDMENT (A/429) TO 4TH COMM. DRAFT RESOL. (A/422), SAID AMENDMENT DELETING THE 4TH PREAMBULAR PARAGRAPH STATING THAT IT IS THE CLEAR INTENT OF CHAPTER   XII OF THE UN CHARTER THAT ALL TERRITORIES FORMERLY UNDER MANDATE SHALL B"
"51",52,"TO ADOPT 4TH COMMITTEE DRAFT RESOL. (A/422) AS AMENDED BY DANISH PROPOSAL."
"52",53,"TO ADOPT 4TH COMMITTEE DRAFT RESOL. (A/423) REQUESTING ADMINISTERING AUTHORITIES TO SUBMIT TRUSTEESHIP AGREEMENTS FOR THEIR SELF-GOVERNING TERRITORIES; AS AMENDED BY THE CUBAN PROPOSAL (A/442) REPLACING \THE SUREST AND QUICKEST MEANS\\ WITH \\""A"""
"53",54,"TO ADOPT A 7-POWER AMENDMENT (A/436) TO 4TH COMM. DRAFT RESOL. II (A/424) AUTHORIZING THE SEC. GENERAL TO UTILIZE ANY DOCUMENTARY MATERIALS FROM ADMINISTERING AUTHORITIES SUPPLEMENTING THEIR INFORMATION ON NON-SELF-GOVERNING TERRITORIES TRANSMI"
"54",55,"TO REQUIRE 2/3 MAJORITY RULE IN VOTING ON 4TH COMMITTEE DRAFT RESOLUTION V (A/424), WHICH RESOLUTION PROVIDES FOR THE ESTABLISHMENT OF A SPECIAL COMMITTEE TO EXAMINE INFORMATION ON NON-SELF-GOVERNING TERRITORIES SUBMITTED BY ADMINISTERING POWER"
"55",56,"TO ADOPT INDIAN AMENDMENT (A/446) TO 4TH COMM. DRAFT RESOL. V (A/424), INSERTING \AS AN EXPERIMENTAL MEASURE\\  AFTER WORDS \\""ELECTED FOR A PERIOD OF TWO YEARS\\"" IN PARAGRAPH 1. THE 4TH COMMITTEE DRAFT RESOLUTION V PROVIDES FOR THE ESTABLISHMEN"""
"56",57,"TO ADOPT USSR ORAL RESOL. CALLING FOR WITHDRAWAL OF ALL OCCUPATION TROOPS FROM KOREA TO ALLOW EXERCISE OF SELF-DETERMINATION BY THAT STATE."
"57",58,"TO ADOPT CUBAN AMENDMENT (A/481) TO THE 2-POWER DRAFT RESOL. (A/452) PROPOSING TO HOLD THE 3RD REGULAR SESSION OF THE UN IN EUROPE, SAID AMENDMENT REQUESTING THE SEC. GENERAL AND HIS 9-MAN ADVISORY COMMITTEE TO SELECT THE TOWN WHEREIN THE ASSEM"
"58",59,"TO ADOPT 2-POWER DRAFT RESOLUTION (A/452) PROPOSING TO HOLD THE 3RD ASSEMBLY OF THE UN IN EUROPE."
"59",60,"TO ADOPT 1ST COMM. DRAFT RESOL. III (A/471) RECOMMENDING TO THE SECURITY COUNCIL THE ADMISSION OF IRELAND TO THE UN."
"60",61,"TO ADOPT 1ST COMM. DRAFT RESOL. IV (A/471) RECOMMENDING TO SECURITY COUNCIL THE ADMISSION OF PORTUGAL TO THE UN."
"61",62,"TO ADOPT 1ST COMMITTEE DRAFT RESOL. V (A/471) RECOMMENDING TO SECURITY COUNCIL THE ADMISSION OF TRANSJORDAN TO THE UN."
"62",63,"TO ADOPT 1ST COMMITTEE DRAFT RESOL. VI (A/471) RECOMMENDING TO SECURITY COUNCIL THE ADMISSION OF ITALY TO THE UN."
"63",64,"TO ADOPT 1ST COMM. DRAFT RESOL. VII (A/471) RECOMMENDING TO THE SECURITY COUNCIL THE ADMISSION OF FINLAND TO THE UN."
"64",65,"TO ADOPT 1ST COMM. DRAFT RESOL. VIII (A/471) RECOMMENDING TO THE SECURITY COUNCIL THE ADMISSION OF AUSTRIA TO THE UN."
"65",66,"TO ADOPT PARAGRAPH 1 OF THE FIRST COMMITTEE DRAFT RESOLUTION (A/479) DEALING WITH RELATIONS OF UN MEMBERS WITH FRANCO-SPAIN.  PARAGRAPH 1 ACKNOWLEDGES THE SEC. GENERAL'S REPORT ON THE ACTIONS OF UN MEMBER-STATES IN PURSUANCE OF THE ASSEMBLY REC"
"66",67,"TO ADOPT PARAGRAPH 2 OF THE 1ST COMM. DRAFT RESOL. (A/479), SAID PARAGRAPH AFFIRMING THE 12 DEC. 46 RESOLUTION ON RELATIONS OF UN MEMBERS WITH FRANCO-SPAIN."
"67",68,"TO ADOPT PARAGRAPH 3 OF THE 1ST COMM. DRAFT RESOL. (A/479), SAID PARAGRAPH PROVIDING THAT THE SECURITY COUNCIL EXERCISE ITS RESPONSIBILITIES AS THE SITUATION IN SPAIN REQUIRES."
"68",69,"TO ADOPT 1ST COMM. DRAFT RESOL. (A/492) REQUESTING INDIA, PAKISTAN AND S. AFRICA TO HOLD A ROUND-TABLE CONFERENCE ON THE TREATMENT OF INDIANS IN S. AFRICA."
"69",70,"TO ADOPT 5-POWER DRAFT RESOL. (A/496) INVITING INDIA, PAKISTAN AND SOUTH AFRICA TO SUBMIT THE QUESTION OF TREATMENT OF INDIANS IN SOUTH AFRICA TO THE INTERNATIONAL COURT OF JUSTICE FOR AN ADVISORY OPINION, SHOULD THE ROUND-TABLE CONFERENCE SUGG"
"70",71,"TO ADOPT SUB-PARAGRAPH 4 (G) OF THE 5TH COMM. DRAFT RESOL. III (A/498) ON THE \WORKING CAPITAL FUND\\ OF THE 1948 UN BUDGET, SAID SUB-PARAGRAPH AUTHORIZING THE SEC. GENERAL TO ADVANCE FROM THIS FUND SUCH SUMS, NOT TO EXCEED $5 MILLION FOR EMERG"""
"71",72,"TO ADOPT CHINA AMENDMENT (A/514) TO THE 3-POWER AMENDMENT (A/512) TO 6TH COMM. DRAFT RESOL. (A/510), WHICH CHINESE AMENDMENT ADDS AFTER THE WORD \CONVENTION\\:  \\""..TAKING INTO ACCOUNT THAT THE INTERNATIONAL LAW COMMISSION WHICH WILL BE SET UP """
"72",73,"TO ADOPT 3-POWER AMENDMENT (A/512) TO 6TH COMM. DRAFT RESOL. (A/510) INCLUDING CHINESE TEXT; WHICH AMENDMENT WOULD HAVE THE E.S.C. UNDERTAKE STUDIES WITH A VIEW TOWARD PREPARING THE DRAFT CONVENTION ON GENOCIDE."
"73",74,"TO ADOPT 6TH COMMITTEE DRAFT RESOLUTION (A/510), AS AMENDED BY THE AMENDED 3-POWER AMENDMENT."
"74",75,"TO ADOPT THE REPORT AND RESOLUTIONS A AND B (A/516) OF THE AD HOC COMM. ON THE PALESTINE QUESTION, PROVIDING AND APPROVING A PLAN OF PARTITION WITH ECONOMIC UNION, FOR PALESTINE."
"75",77,"TO ADOPT POLISH RESOLUTION (A/BUR/80) AS AMENDED BY CZECHOSLOVAKIA, DECIDING TO INVITE THE JEWISH AGENCY FOR PALESTINE TO STATE THE POINT OF VIEW OF THE JEWISH PEOPLE ON PALESTINE BEFORE THE GENERAL ASSEMBLY IN PLENARY MEETING."
"76",78,"TO ADOPT 5-POWER DRAFT RESOL. (A/305) GRANTING THE JEWISH AGENCY FOR PALESTINE A HEARING ON THE PALESTINE SITUATION BEFORE THE 1ST COMMITTEE; LIKEWISE TRANSMITTING OTHER SIMILAR COMMUNICATIONS RECEIVED ALSO TO THIS COMMITTEE."
"77",79,"TO ADOPT OPERATIVE PARAGRAPH 1 OF THE 1ST COMM. DRAFT RESOL. (A/307) CREATING A SPECIAL COMMITTEE TO PREPARE FOR THE CONSIDERATION OF THE PALESTINE QUESTION AT THE 2ND REGULAR SESSION OF THE ASSEMBLY.  SAID PARAGRAPH CREATES THE SPECIAL COMMITT"
"78",80,"TO ADOPT PREAMBLE AND OPERATIVE PARAGRAPHS 2-9 OF THE 1ST COMM. DRAFT RESOLUTION (A/307), SAID PARAGRAPHS DEFINING THE PURPOSE, OBJECTIVES, OBLIGATIONS AND RESPONSIBILITIES OF THE SPECIAL PREPARATORY COMMITTEE ON THE PALESTINE QUESTION."
"79",81,"TO ADOPT 1ST COMM. DRAFT RESOL. (A/307) CREATING THE SPECIAL PREPARATORY COMM. ON THE PALESTINE QUESTION."
"80",82,"TO ADOPT USSR PROPOSAL TO DELETE ITEM 14 (C) FROM THE AGENDA RECOMMENDED IN THE GENERAL COMM. REPORT (A/653).  ITEM 14 (C) IS AN APPLICATION OF CHARTER ARTICLE 27 ON THE PRINCIPLE OF UNANIMITY AMONG PERMANENT SECURITY COUNCIL MEMBERS, TO THE QU"
"81",83,"TO ADOPT USSR PROPOSAL TO DELETE ITEM 42, ON USSR VIOLATIONS OF FUNDAMENTAL HUMAN RIGHTS, DIPLOMATIC PRACTICE AND OTHER CHARTER PRINCIPLES, FROM THE GENERAL COMMITTEE-RECOMMENDED AGENDA (A/653)"
"82",84,"TO ADOPT POLISH DRAFT RESOLUTION (A/686) TERMINATING MR. JAN PAPANEK'S MEMBERSHIP CAPACITY ON THE COMMITTEE OF ADMINISTRATIVE AND BUDGETARY QUESTIONS AND THE COMMITTEE ON CONTRIBUTIONS, AND CALLING FOR NEW ELECTIONS TO FILL THE VACANCIES."
"83",85,"TO ADOPT 4TH COMM. DRAFT RESOL. I (A/695) INVITING ADMINISTERING AUTHORITIES TO SUBMIT THEIR MOST RECENT INFORMATION ON THEIR NON-SELF-GOVERNING TERRITORIES TO THE SECRETARY-GENERAL."
"84",86,"TO ADOPT 4TH COMM. DRAFT RESOL. II (A/695) CONSTITUTING A SPECIAL COMMITTEE FOR 1949 TO EXAMINE INFORMATION ON NON-SELF-GOVERNING TERRITORIES TRANSMITTED UNDER ARTICLE 73E OF THE CHARTER."
"85",87,"TO ADOPT 4TH COMM. DRAFT RESOL. III (A/695) ESTABLISHING A LIAISON BETWEEN THE UNESCO AND THE SPECIAL COMMITTEE ON INFORMATION FROM NON-SELF-GOVERNING TERRITORIES."
"86",88,"TO ADOPT 4TH COMM. DRAFT RESOL. IV (A/695) PROVIDING FOR COLLABORATION OF THE SPECIALIZED AGENCIES WITH REGARD TO INFORMATION FROM NON-SELF-GOVERNING TERRITORIES."
"87",89,"TO ADOPT USSR DRAFT RESOL. (A/C.1/310) POSTPONING THE SIGNING OF TWO SEPARATE CONVENTIONS, ENTERING INTO IMMEDIATE FORCE, ON THE PROHIBITION OF ATOMIC WEAPONS."
"88",90,"TO ADOPT 1ST INDIAN AMENDMENT (A/700) TO 1ST COMM. DRAFT RESOL. (A/690 AND A/690, CORR.1), LIMITING APPROVAL OF THE A.E.C. REPORTS PROVIDED IN PARAGRAPH 1 TO APPROVAL \IN SUBSTANCE\\ AND NOT IN ALL DETAILS.  THE 1ST COMM. DRAFT RESOLUTION APPRO"""
"89",91,"TO ADOPT 2ND INDIAN AMENDMENT (A/700) TO 1ST COMM. DRAFT RESOL. (A/690 AND CORR.1), REPLACING PARAG. 4 WITH A TEXT CALLING UPON A.E.C. TO CONTINUE ITS WORK AND TO PREPARE A DRAFT CONVENTION INCORPORATING A.E.C. PROPOSALS ON INTERNATIONAL CONTRO"
"90",92,"TO ADOPT PARAGRAPH 4 OF THE 4TH COMM. DRAFT RESOL. II (A/720) ON ADMINISTRATIVE UNIONS IN THE TRUST TERRITORIES, SAID PARAGRAPH NOTING THAT THE UN TRUSTEESHIP AGREEMENTS EXCLUDED ANY KIND OF POLITICAL UNION BETWEEN ADMINISTRATIVE UNIONS OF TRUS"
"91",93,"TO ADOPT SUB-PARAGRAPH 9 (A) OF THE 4TH COMM. DRAFT RESOL. II (A/720), SAID PARAGRAPH MAINTAINING THE STATUS AND IDENTITY OF TRUST TERRITORIES UNTIL THEY FREELY DETERMINE THEIR CHOSEN FORM OF GOVERNMENT."
"92",94,"TO ADOPT SUB-PARAGRAPH 9 (B) OF THE 4TH COMM. DRAFT RESOL. II (A/720), SAID PARAGRAPH ACKNOWLEDGING THE EFFECT ANY ADMINISTRATIVE UNIONS COULD HAVE ON THE POLITICAL STATUS OF TRUST TERRITORIES."
"93",95,"TO ADOPT SUB-PARAGRAPH 11 (A) OF THE 4TH COMM. DRAFT RESOL. II (A/720), SAID PARAGRAPH RECOMMENDING THE ADMINISTERING AUTHORITIES TO CONSULT THE TRUSTEESHIP COUNCIL BEFORE CONSTITUTING OR EXTENDING AN ADMINISTRATIVE UNION."
"94",96,"TO ADOPT SUB-PARAGRAPH 11 (B) OF 4TH COMM. DRAFT RESOL.II (A/720), SAID PARAGRAPH PROVIDING THAT THE ADMINISTERING AUTHORITIES SUBMIT THE UNIFIED ADMINISTRATION OF THE TRUST TERRITORY AND ADJACENT TERRITORIES TO THE SUPERVISION OF THE TRUSTEESH"
"95",97,"TO ADOPT 6TH COMM. DRAFT RESOL. (A/713) WITH E.S.C. DRAFT PROTOCOL AND ANNEX, REGARDING THE TRANSFER TO THE UN OF THE LEAGUE OF NATION'S POWERS UNDER THE 1928 INTERNATIONAL CONVENTION ON ECONOMIC STATISTICS."
"96",98,"TO ADOPT PARAGRAPH 1 OF USSR DRAFT RESOL. (A/723) PROPOSING PROHIBITION OF ATOMIC WEAPONS AND THE REDUCTION OF ARMS AND MILITARY FORCES; SAID PARAGRAPH NOTING THE LACK OF IMPLEMENTATION OF ASSEMBLY RESOLUTIONS 24 JAN. 46, ON ATOMIC ENERGY CONTR"
"97",99,"TO ADOPT PARAGRAPH 2 OF USSR DRAFT RESOL. (A/723), SAID PARAGRAPH RECOGNIZING THE PRIME IMPORTANCE OF A PROHIBITION ON THE PRODUCTION AND USE OF ATOMIC WEAPONS."
"98",100,"TO ADOPT PARAGRAPH 3 OF USSR DRAFT RESOL. (A/723), RECOGNIZING THE BENEFICENT EFFECTS OF ARMS REDUCTIONS ON WORLD PEACE AND SECURITY AND AS A RELIEF TO DEFENCE-OVERBURDENED ECONOMIES."
