"","X","short"
"56",57,"KOREA INDEPENDENCE"
"57",58,"GENERAL ASSEMBLY MEETING PLACE"
"58",59,"GENERAL ASSEMBLY MEETING PLACE"
"59",60,"ADMISSION OF NEW MEMBERS"
"60",61,"ADMISSION, PORTUGAL"
"61",62,"ADMISSION TRANSJORDAN"
"62",63,"ADMISSION ITALY"
"63",64,"ADMISSION FINLAND"
"64",65,"ADMISSION AUSTRIA"
"65",66,"U.N. MEMBERS, RELATIONS WITH SPAIN"
"66",67,"U.N. MEMBERS, RELATIONS WITH SPAIN"
"67",68,"U.N. MEMBERS, RELATIONS WITH SPAIN"
"68",69,"INDIANS IN SOUTH AFRICA"
"69",70,"INDIANS IN SOUTH AFRICA"
"70",71,"U.N. BUDGET"
"71",72,"GENOCIDE"
"72",73,"GENOCIDE"
"73",74,"GENOCIDE"
"74",75,"PALESTINE, ECONOMIC UNION"
"75",77,"PALESTINE, JEWISH AGENCY"
"76",78,"PALESTINE, JEWISH AGENCY"
"77",79,"PALESTINE, GENERAL ASSEMBLY HEARING"
"78",80,"PALESTINE, QUESTION DEFINITION"
"79",81,"PALESTINE, PREPATORY COMMITTEE"
"80",82,"ADMISSION OF NEW MEMBERS"
"81",83,"SOVIET WIVES"
"82",84,"ADMINISTRATIVE VACANCIES"
"83",85,"NON SELF GOVERNING TERRITORIES, INFORMATION"
"84",86,"NON SELF GOVERNING TERRITORIES, INFORMATION"
"85",87,"NON SELF GOVERNING TERRITORIES, INFORMATION"
"86",88,"NON SELF GOVERNING TERRITORIES, INFORMATION"
"87",89,"ATOMIC ENERGY COMMISSION"
"88",90,"ATOMIC ENERGY COMMISSION"
"89",91,"ATOMIC ENERGY COMMISSION"
"90",92,"TRUSTEESHIP COUNCIL"
"91",93,"TRUSTEESHIP COUNCIL"
"92",94,"TRUSTEESHIP COUNCIL"
"93",95,"TRUSTEESHIP COUNCIL"
"94",96,"TRUSTEESHIP COUNCIL"
"95",97,"U.N. STATISTICS"
"96",98,"DISARMAMENT NUCLEAR, CONVENTIONAL"
"97",99,"DISARMAMENT, NUCLEAR"
"98",100,"DISARMAMENT"
"99",101,"DISARMAMENT"
"100",102,"DISARMAMENT"
"101",103,"DISARMAMENT, CONVENTIONAL"
"102",104,"DISARMAMENT, NUCLEAR"
"103",105,"DISARMAMENT SUPERVISION"
"104",106,"S.W. AFRICA TRUSTEESHIP"
"105",107,"TRADE DISCRIMINATION"
"106",108,"GREECE"
"107",109,"DEVELOPMENT AID"
"108",110,"TRAINING PUBLIC ADMINISTRATORS"
"109",111,"TRAINING PUBLIC ADMINISTRATORS"
"110",112,"GENERAL ASSEMBLY PROCEDURES"
"111",113,"GENERAL ASSEMBLY PROCEDURES"
"112",114,"GENERAL ASSEMBLY PROCEDURES"
"113",115,"GENERAL ASSEMBLY PROCEDURES"
"114",116,"GENERAL ASSEMBLY PROCEDURES"
"115",117,"SPANISH WORKING LANGUAGE"
"116",118,"SPANISH WORKING LANGUAGE"
"117",119,"SPANISH WORKING LANGUAGE"
"118",120,"FORMER ITALIAN COLONIES"
"119",121,"ADMISSION OF NEW MEMBERS"
"120",122,"GENOCIDE"
"121",123,"GENOCIDE"
"122",124,"GENOCIDE"
"123",125,"GENOCIDE"
"124",126,"NON SELF GOVERNING TERRITORIES, GENOCIDE"
"125",127,"HUMAN RIGHTS DECLARATION"
"126",128,"HUMAN RIGHTS DECLARATION"
"127",129,"HUMAN RIGHTS DECLARATION"
"128",130,"HUMAN RIGHTS DECLARATION"
"129",131,"HUMAN RIGHTS DECLARATION"
"130",132,"PALESTINE MEDIATOR"
"131",133,"PALESTINE MEDIATOR"
"132",134,"PALESTINE MEDIATOR"
"133",135,"PALESTINE MEDIATOR"
"134",136,"LEAGUE OF NATIONS ASSETS"
"135",137,"ANNUAL BUDGET"
"136",138,"KOREA, INDEPENDENCE"
"137",139,"INDONESIA ON AGENDA"
"138",140,"INDONESIA ON AGENDA"
"139",141,"ADMISSION ISRAEL"
"140",142,"ADMISSION ISRAEL"
"141",143,"U.N., STRENGTHENING"
"142",144,"U.N., STRENGTHENING"
"143",145,"U.N., STRENGTHENING"
"144",146,"U.N., STRENGTHENING"
"145",147,"HUMAN RIGHTS DECLARATION"
"146",148,"SOVIET WIVES"
"147",149,"HUMAN RIGHTS"
"148",150,"HUMAN RIGHTS IN BULGARIA, HUNGARY"
"149",151,"HUMAN RIGHTS"
"150",152,"ADMISSION ISRAEL"
"151",153,"NEWS REPORTING"
"152",154,"INDIANS IN SOUTH AFRICA"
"153",155,"U.N. MEMBERS, RELATIONS WITH SPAIN"
"154",156,"U.N. MEMBERS, RELATIONS WITH SPAIN"
"155",157,"U.N. MEMBERS, RELATIONS WITH SPAIN"
"156",158,"U.N. MEMBERS, RELATIONS WITH SPAIN"
"157",159,"U.N. MEMBERS, RELATIONS WITH SPAIN"
"158",160,"U.N. MEMBERS, RELATIONS WITH SPAIN"
"159",161,"U.N. MEMBERS, RELATIONS WITH SPAIN"
"160",162,"U.N. MEMBERS, RELATIONS WITH SPAIN"
"161",163,"FORMER ITALIAN COLONIES"
"162",164,"FORMER ITALIAN COLONIES"
"163",165,"FORMER ITALIAN COLONIES"
"164",166,"FORMER ITALIAN COLONIES"
"165",167,"FORMER ITALIAN COLONIES"
"166",168,"FORMER ITALIAN COLONIES"
"167",169,"FORMER ITALIAN COLONIES"
"168",170,"FORMER ITALIAN COLONIES"
"169",171,"FORMER ITALIAN COLONIES"
"170",172,"FORMER ITALIAN COLONIES"
"171",173,"FORMER ITALIAN COLONIES"
"172",174,"FORMER ITALIAN COLONIES"
"173",175,"FORMER ITALIAN COLONIES"
"174",176,"FORMER ITALIAN COLONIES"
"175",177,"FORMER ITALIAN COLONIES"
"176",178,"GERHART EISLER CASE"
"177",179,"JERUSALEM, ADMINISTRATION"
"178",180,"JERUSALEM, ADMINISTRATION"
"179",181,"JERUSALEM, ADMINISTRATION"
"180",182,"PALESTINE, U.N. BUDGET"
"181",183,"PALESTINE, U.N. BUDGET"
"182",184,"PALESTINE"
"183",185,"PALESTINE, TRUCE"
"184",186,"FREEDOM OF INFORMATION"
"185",187,"EASTERN EUROPE HUMAN RIGHTS"
"186",188,"GENERAL ASSEMBLY PROCEDURES"
"187",189,"TRUSTEESHIP COUNCIL"
"188",190,"TRUSTEESHIP COUNCIL"
"189",191,"TRUSTEESHIP COUNCIL"
"190",192,"TRUSTEESHIP COUNCIL FLAG"
"191",193,"ECOSOC AND DEVELOPING COUNTRIES"
"192",195,"GREECE AND TURKEY"
"193",196,"AMNESTY IN GREECE"
"194",197,"GREECE, ELECTIONS"
"195",198,"GREECE, ELECTIONS"
"196",199,"GREECE"
"197",200,"GREECE"
"198",201,"GREECE"
"199",202,"FORMER ITALIAN COLONIES"
"200",203,"FORMER ITALIAN COLONIES"
"201",204,"FORMER ITALIAN COLONIES"
"202",205,"FORMER ITALIAN COLONIES"
"203",206,"FORMER ITALIAN COLONIES"
"204",207,"FORMER ITALIAN COLONIES"
"205",208,"FORMER ITALIAN COLONIES"
"206",209,"DISARMAMENT, NUCLEAR"
"207",210,"DISARMAMENT, NUCLEAR"
"208",211,"DISARMAMENT, NUCLEAR"
"209",212,"LABOUR AND WELFARE"
"210",213,"LABOUR AND LEGISLATION"
"211",214,"LABOUR, LEGISLATION"
"212",215,"STATE ECONOMIC CONTROL"
"213",216,"TAX REFORM"
"214",217,"LABOUR LEGISLATION"
"215",218,"LABOUR LEGISLATION"
"216",219,"EDUCATION"
"217",220,"CONVENTIONAL DISARMAMENT"
"218",221,"TRADE"
"219",222,"LABOUR AND WELFARE"
"220",223,"LABOUR AND WELFARE"
"221",224,"LABOUR AND WELFARE"
"222",225,"NON SELF GOVERNING TERRITORIES, INFORMATION"
"223",226,"HUMAN TRAFFIC AND TRUST TERRITORIES"
"224",227,"HUMAN TRAFFIC AND TRUST TERRITORIES"
"225",228,"TRAFFIC IN PERSONS"
"226",229,"SOUTH WEST AFRICA"
"227",230,"SOUTH WEST AFRICA"
"228",231,"SOUTH WEST AFRICA"
"229",232,"SOUTH WEST AFRICA"
"230",233,"SOUTH WEST AFRICA"
"231",234,"SOUTH WEST AFRICA"
"232",235,"SOUTH WEST AFRICA AND I.C.J."
"233",236,"SINO-SOVIET VIOLATIONS"
"234",237,"SINO-SOVIET VIOLATIONS"
"235",238,"PALESTINE"
"236",239,"JERUSALEM"
"237",240,"JERUSALEM"
"238",241,"JERUSALEM"
"239",242,"JERUSALEM"
"240",243,"JERUSALEM"
"241",244,"JERUSALEM"
"242",245,"JERUSALEM"
"243",246,"JERUSALEM"
"244",247,"JERUSALEM"
"245",248,"JERUSALEM"
"246",249,"TRUSTEESHIP BUDGET"
"247",250,"CHINA REPRESENTATION"
"248",251,"KOREA"
"249",252,"PEACEFUL SETTLEMENTS"
"250",253,"KOREA"
"251",254,"KOREA"
"252",255,"KOREA"
"253",256,"KOREA"
"254",257,"KOREA"
"255",258,"KOREA"
"256",259,"KOREA"
"257",260,"KOREA"
"258",261,"KOREA"
"259",262,"KOREA"
"260",263,"UNITED ACTIONS FOR PEACE"
"261",264,"SPAIN"
"262",265,"SPAIN"
"263",266,"SPAIN"
"264",267,"FORMER ITALIAN COLONIES"
"265",268,"SOVIET THREAT TO CHINA"
"266",269,"KOREA"
"267",270,"INDIANS IN SOUTH AFRICA"
"268",271,"APARTHEID"
"269",272,"INDIANS IN SOUTH AFRICA"
"270",273,"INDIANS IN SOUTH AFRICA"
"271",276,"APARTHEID"
"272",277,"APARTHEID"
"273",278,"FORMER ITALIAN COLONIES"
"274",279,"FORMER ITALIAN COLONIES"
"275",280,"TRUSTEESHIP COUNCIL"
"276",281,"TRUSTEESHIP COUNCIL"
"277",282,"TRUSTEESHIP COUNCIL"
"278",283,"TRUSTEESHIP COUNCIL"
"279",284,"TRUSTEESHIP COUNCIL"
"280",285,"PROCEDURE"
"281",286,"TRUSTEESHIP COUNCIL"
"282",287,"DECLARATION OF HUMAN RIGHTS"
"283",288,"NON-MEMBERS"
"284",289,"NON-MEMBERS"
"285",290,"NON SELF GOVERNING TERRITORIES, INFORMATION"
"286",291,"NON SELF GOVERNING TERRITORIES, INFORMATION"
"287",292,"INTERNATIONAL LAW COMISSION"
"288",293,"SOUTH WEST AFRICA"
"289",294,"SOUTH WEST AFRICA"
"290",295,"SOUTH WEST AFRICA"
"291",296,"DISARMAMENT"
"292",297,"KOREA"
"293",298,"GENERAL ASSEMBLY MEETING LOCATION"
"294",299,"PALESTINE"
"295",300,"KOREA AND CHINA"
"296",301,"GENERAL ASSEMBLY MEETING LOCATION"
"297",302,"KOREA, CHINESE SANCTIONS"
"298",303,"ADMISSION ITALY"
"299",304,"MOROCCO AND ARABS"
"300",305,"MOROCCO, ARABS"
"301",306,"GERMANY, ELECTIONS"
"302",307,"U.S. REARMAMENT"
"303",308,"U.N. FORCE"
"304",309,"SECURITY COUNCIL"
"305",310,"INDIANS IN SOUTH AFRICA"
"306",311,"DEVELOPMENT AID"
"307",312,"TRUST TERRITORIES"
"308",313,"TRUST TERRITORIES, DECOLONIZATION"
"309",314,"TRUST TERRITORIES, DECOLONIZATION"
"310",315,"TRUST TERRITORIES"
"311",316,"SOUTH WEST AFRICA"
"312",317,"SOUTH WEST AFRICA"
"313",318,"TRUSTEESHIP COUNCIL"
"314",319,"AGGRESSION, DEFINITION"
"315",320,"AGGRESSION, DEFINITION"
"316",321,"SOVIET TREATY WITH CHINA"
"317",322,"ADMISSION OF NEW MEMBERS"
"318",323,"STATUS OF WOMEN"
"319",324,"DISCRIMINATION"
"320",325,"DECLARATION OF HUMAN RIGHTS"
"321",326,"DECLARATION OF HUMAN RIGHTS"
"322",327,"KOREA"
"323",328,"POLITICAL COMMITTEE"
"324",329,"APARTHEID"
"325",330,"APARTHEID"
"326",331,"KOREA, BIOLOGICAL WARFARE"
"327",332,"KOREA, BIOLOGICAL WARFARE"
"328",333,"CREDENTIALS COMMITTEE"
"329",334,"CHINA REPRESENTATION"
"330",335,"CHINA REPRESENTATION"
"331",336,"IACO AND JAPAN"
"332",337,"KOREA"
"333",338,"KOREA"
"334",339,"KOREA, PRISONERS OF WAR"
"335",340,"KOREA, PRISONERS OF WAR"
"336",341,"KOREA"
"337",342,"INDIANS IN SOUTH AFRICA"
"338",343,"INDIANS IN SOUTH AFRICA"
"339",344,"SOUTH AFRICA"
"340",345,"SOUTH AFRICA"
"341",346,"DISCRIMINATION"
"342",348,"NON SELF GOVERNING TERRITORIES"
"343",349,"PROPAGANDA"
"344",350,"SELF-DETERMINATION"
"345",351,"NON SELF GOVERNING TERRITORIES"
"346",352,"SELF-DETERMINATION"
"347",353,"PALESTINE"
"348",354,"JERUSALEM"
"349",355,"PALESTINE"
"350",356,"MOROCCO, INDEPENDENCE"
"351",357,"MOROCCO, INDEPENDENCE"
"352",358,"STATUS OF WOMEN"
"353",359,"STATUS OF WOMEN"
"354",360,"STATUS OF WOMEN"
"355",361,"STATUS OF WOMEN"
"356",362,"TOGO"
"357",363,"TOGO"
"358",364,"TOGO"
"359",365,"TANGANYIKA AND THE WA-MERU"
"360",366,"TANGANYIKA AND THE WA-MERU"
"361",367,"TANGANYIKA AND THE WA-MERU"
"362",368,"SOMALIA"
"363",369,"U.N. ADMISSIONS PROCEDURES"
"364",370,"ADMISSION JAPAN"
"365",371,"DEVELOPMENT AID"
"366",372,"POPULATION"
"367",373,"RESOURCES"
"368",374,"RESOURCES"
"369",375,"KOREA, PRISONERS OF WAR"
"370",376,"KOREA, BIOLOGICAL WARFARE"
"371",377,"APARTHEID"
"372",378,"STATUS OF WOMEN"
"373",379,"STATUS OF WOMEN"
"374",380,"MOROCCO, INDEPENDENCE"
"375",381,"MOROCCO, INDEPENDENCE"
"376",382,"MOROCCO, INDEPENDENCE"
"377",383,"MOROCCO, INDEPENDENCE"
"378",384,"MOROCCO, INDEPENDENCE"
"379",385,"MOROCCO, INDEPENDENCE"
"380",386,"APARTHEID"
"381",387,"TUNISIA, INDEPENDENCE"
"382",388,"TUNISIA, INDEPENDENCE"
"383",389,"NON SELF GOVERNING TERRITORIES, INFORMATION"
"384",390,"NON SELF GOVERNING TERRITORIES"
"385",391,"PUERTO RICO"
"386",392,"SOUTH WEST AFRICA"
"387",393,"SOUTH WEST AFRICA"
"388",394,"SOUTH WEST AFRICA"
"389",395,"SOUTH WEST AFRICA"
"390",396,"KOREA"
"391",397,"FORCED LABOR"
"392",398,"APARTHEID"
"393",399,"APARTHEID"
"394",400,"APARTHEID"
"395",401,"TRUSTEESHIP COUNCIL"
"396",402,"PERSONNEL"
"397",403,"CHINA REPRESENTATION"
"398",404,"APARTHEID"
"399",405,"WEST IRIAN"
"400",406,"CYPRUS, SELF-DETERMINATION"
"401",407,"CYPRUS, SELF-DETERMINATION"
"402",408,"SOUTH WEST AFRICA"
"403",409,"SOUTH WEST AFRICA"
"404",410,"BURMA"
"405",411,"NON SELF GOVERNING TERRITORIES"
"406",412,"GREENLAND, SELF-DETERMINATION"
"407",413,"PROCEDURE"
"408",414,"SOUTH AFRICA, IMPORTANT QUESTION"
"409",415,"DECLARATION OF HUMAN RIGHTS"
"410",416,"U.N. DOCUMENTS IN ARABIC"
"411",417,"AGGRESSION, DEFINITION"
"412",418,"KOREA, VIOLATIONS OF ARMISTICE"
"413",419,"WEST IRIAN"
"414",420,"WEST IRIAN"
"415",421,"WEST IRIAN"
"416",422,"KOREA"
"417",423,"APARTHEID"
"418",424,"APARTHEID"
"419",425,"APARTHEID"
"420",426,"SOMALIA"
"421",427,"SOMALIA"
"422",428,"SOMALIA"
"423",429,"SOMALIA SELF-DETERMINATION"
"424",430,"DEVELOPMENT AID"
"425",431,"WAR PROPAGANDA"
"426",432,"MOROCCO"
"427",433,"U.N. ADMINISTRATIVE TRIBUNAL"
"428",434,"CHINA REPRESENTATION"
"429",435,"CYPRUS, SELF-DETERMINATION"
"430",436,"ALGERIA"
"431",437,"WEST IRIAN"
"432",438,"SECURITY COUNCIL ELECTIONS"
"433",439,"SECURITY COUNCIL ELECTIONS"
"434",440,"ECOSOC AND TRUSTEESHIP ELECTIONS"
"435",441,"SECURITY COUNCIL, ECOSOC, TRUSTEESHIP"
"436",442,"ADMINISTRATIVE TRIBUNAL"
"437",443,"ADMINISTRATIVE TRIBUNAL"
"438",444,"ADMINISTRATIVE TRIBUNAL"
"439",445,"CHARTER REVIEW"
"440",446,"CHARTER REVIEW"
"441",447,"APARTHEID"
"442",448,"ADMISSION OF NEW MEMBERS"
"443",449,"ADMISSION ALBANIA"
"444",450,"ADMISSION JORDAN"
"445",451,"ADMISSION IRELAND"
"446",452,"ADMISSION PORTUGAL"
"447",453,"ADMISSION HUNGARY"
"448",454,"ADMISSION ITALY"
"449",455,"ADMISSION AUSTRIA"
"450",456,"ADMISSION ROMANIA"
"451",457,"ADMISSION BULGARIA"
"452",458,"ADMISSION FINLAND"
"453",459,"ADMISSION CEYLON"
"454",460,"ADMISSION NEPAL"
"455",461,"ADMISSION LIBYA"
"456",462,"ADMISSION CAMBODIA"
"457",463,"ADMISSION LAOS"
"458",464,"ADMISSION SPAIN"
"459",465,"NETHERLANDS ANTILLES AND SURINAM, INFORMATION"
"460",466,"NETHERLANDS ANTILLES AND SURINAM, INFORMATION"
"461",467,"NETHERLANDS ANTILLES AND SURINAM, INFORMATION"
"462",468,"NON SELF GOVERNING TERRITORIES, INFORMATION"
"463",469,"SOMALIA BOUNDRY"
"464",470,"SOMALIA BOUNDRY"
"465",471,"ADMISSION SUDAN"
"466",472,"ADMISSION MOROCCO"
"467",473,"ADMISSION TUNISIA"
"468",474,"HUNGARY, SOVIET INTERVENTION"
"469",475,"INDIANS IN SOUTH AFRICA"
"470",476,"APARTHEID"
"471",477,"WEST IRIAN"
"472",478,"ADJOURNMENT"
"473",479,"CHINA REPRESENTATION"
"474",480,"CHINA REPRESENTATION"
"475",481,"CHINA REPRESENTATION"
"476",482,"HUMAN RIGHTS, HUNGARY"
"477",483,"HUMAN RIGHTS, HUNGARY"
"478",484,"HUMAN RIGHTS, HUNGARY"
"479",485,"HUMAN RIGHTS, HUNGARY"
"480",486,"HUNGARY, REFUGEES"
"481",488,"HUNGARY, REFUGEES"
"482",489,"HUNGARY, REFUGEES"
"483",490,"HUNGARY, REFUGEES"
"484",491,"SUEZ CRISIS"
"485",492,"SUEZ CRISIS"
"486",493,"U.N. EMERGENCY FORCE"
"487",494,"HUNGARY, OBSERVERS"
"488",495,"U.N. CHILDREN'S FUND"
"489",496,"HUNGARY, SOVIET INTERVENTION"
"490",497,"TOGO"
"491",498,"ADMISSION JAPAN"
"492",499,"HUNGARY"
"493",500,"SUEZ CRISIS"
"494",501,"SUEZ CRISIS"
"495",502,"TOGO, SELF-DETERMINATION"
"496",503,"STATUS OF WOMEN"
"497",504,"STATUS OF WOMEN"
"498",505,"SUEZ CRISIS"
"499",506,"SUEZ CRISIS"
"500",507,"ALGERIA"
"501",508,"U.S. AGGRESSIVE ACTS"
"502",509,"NEW MEMBERS"
"503",510,"NEW MEMBERS"
"504",511,"SELF-DETERMINATION"
"505",512,"U.N. SALARIES"
"506",513,"WEST IRIAN"
"507",514,"ADMISSION GHANA"
"508",515,"HUNGARY, SOVIET INTERVENTION"
"509",516,"ADMISSION MALAYA"
"510",517,"SUEZ CANAL, CEASEFIRE, TROOP WITHDRAWAL"
"511",518,"SUEZ CANA, EMERGENCY FORCE"
"512",519,"SUEZ CANAL, CONFLICT RESOLUTION"
"513",520,"SUEZ CANA, EMERGENCY  COMMAND FORCE"
"514",521,"SUEZ CANA, EMERGENCY FORCE"
"515",522,"SUEZ CANAL, TROOP WITHDRAWAL"
"516",523,"HUNGARY, USSR WITHDRAWAL"
"517",524,"HUNGARY, USSR REPRESSION"
"518",525,"HUNGARY, FUNDAMENTAL RIGHTS"
"519",526,"HUNGARY, FOREIGN INTERVENTION"
"520",527,"HUNGARY, CHARTER VIOLATION"
"521",528,"HUNGARY, SOVIET WITHDRAWAL"
"522",529,"HUNGARY, SOVIET WITHDRAWAL"
"523",530,"HUNGARY, FREE ELECTIONS"
"524",531,"HUNGARY, FREE ELECTIONS"
"525",532,"HUNGARY, INVESTIGATION"
"526",533,"HUNGARY, SECRETARY GENERAL REPORT"
"527",534,"HUNGARY, SITUATION"
"528",535,"HUNGARY, USSR INTERFERENCE"
"529",536,"HUNGARY, SUPPLIES DISTRIBUTION"
"530",537,"HUNGARY, AID"
"531",538,"APARTHEID"
"532",539,"INDIANS IN SOUTH AFRICA"
"533",540,"WEST IRIAN"
"534",541,"CHINA REPRESENTATION"
"535",542,"CHINA REPRESENTATION"
"536",543,"CHINA REPRESENTATION"
"537",544,"CHINA REPRESENTATION"
"538",545,"SYRIA, THREATS"
"539",546,"SYRIA, THREATS"
"540",547,"SOUTH WEST AFRICA"
"541",548,"DISARMAMENT"
"542",549,"DISARMAMENT"
"543",550,"DISARMAMENT, NUCLEAR"
"544",551,"DISARMAMENT"
"545",552,"DISARMAMENT COMMISSION"
"546",553,"U.N. EMERGENCY FORCE"
"547",554,"NON SELF GOVERNING TERRITORIES, INFORMATION"
"548",555,"NON SELF GOVERNING TERRITORIES, INFORMATION"
"549",556,"ECOSOC, AFRICA"
"550",557,"TRADE COOPERATION"
"551",558,"APARTHEID"
"552",559,"INDIANS IN SOUTH AFRICA"
"553",560,"KOREA INDEPENDENCE"
"554",561,"WEST IRIAN"
"555",562,"AGGRESSION, DEFINITION"
"556",563,"TOGO, SELF-DETERMINATION"
"557",564,"TOGO, SELF-DETERMINATION"
"558",565,"COMMONWEALTH REPRESENTATION"
"559",566,"GENERAL COMMITTEE"
"560",567,"CAMEROON"
"561",568,"SECRETARIAT STAFF COMPOSITION"
"562",569,"SECRETARIAT STAFF COMPOSITION"
"563",570,"CYPRUS, SELF-DETERMINATION"
"564",571,"PEACEFUL RELATIONS"
"565",572,"HUNGARY"
"566",573,"CHINA REPRESENTATION"
"567",574,"CHINA REPRESENTATION"
"568",575,"CHINA REPRESENTATION"
"569",576,"CHINA REPRESENTATION"
"570",577,"CHINA REPRESENTATION"
"571",578,"ECOSOC, SPECIAL FUND"
"572",579,"SOUTH WEST AFRICA"
"573",580,"APARTHEID"
"574",581,"APARTHEID"
"575",582,"APARTHEID, CHARTER VIOLATION"
"576",583,"APARTHEID, CHARTER VIOLATION"
"577",584,"APARTHEID"
"578",585,"APARTHEID"
"579",586,"DISARMAMENT, NUCLEAR TESTING"
"580",587,"DISARMAMENT, NUCLEAR TESTING"
"581",588,"U.N. EMERGENCY FORCE"
"582",589,"KOREA ELECTIONS"
"583",590,"ECOSOC MEMBERSHIP"
"584",591,"INDIANS IN SOUTH AFRICA"
"585",592,"LAW OF THE SEA"
"586",593,"LAW OF THE SEA"
"587",594,"HUNGARY, SOVIET INTERVENTION"
"588",595,"ECOSOC SPECIAL FUND"
"589",596,"DEVELOPMENT AID"
"590",597,"DEVELOPMENT AID"
"591",598,"U.N. EMERGENCY FORCE"
"592",599,"PEACEFUL USE OF OUTER SPACE"
"593",600,"ALGERIA"
"594",601,"ALGERIA"
"595",602,"ALGERIA"
"596",603,"FRENCH CAMEROON"
"597",604,"BRITISH CAMEROON"
"598",605,"CHINA REPRESENTATION"
"599",606,"CHINA REPRESENTATION"
"600",607,"CHINA REPRESENTATION"
"601",608,"CHINA REPRESENTATION"
"602",609,"CHINA REPRESENTATION"
"603",610,"DISARMAMENT"
"604",611,"SECURITY COUNCIL AND ECOSOC ELECTIONS"
"605",612,"SECURITY COUNCIL AND ECOSOC ELECTIONS"
"606",613,"TIBET"
"607",614,"BRITISH CAMEROON"
"608",615,"BRITISH CAMEROON"
"609",616,"TIBET, AUTONOMY"
"610",617,"SOUTH AFRICA"
"611",618,"DISARMAMENT, NUCLEAR TESTING"
"612",619,"FRANCE, NUCLEAR TESTING"
"613",620,"FRANCE, NUCLEAR TESTING"
"614",621,"FRANCE, NUCLEAR TESTING"
"615",622,"FRANCE, NUCLEAR TESTING"
"616",623,"FRANCE, NUCLEAR TESTING"
"617",624,"FRANCE, NUCLEAR TESTING"
"618",625,"DISARMAMENT"
"619",626,"ECOSOC, CAPITAL PUNISHMENT"
"620",627,"DISARMAMENT, NUCLEAR TESTING"
"621",628,"SECURITY COUNCIL AND ECOSOC ELECTIONS"
"622",629,"SECURITY COUNCIL AND ECOSOC ELECTIONS"
"623",630,"HUNGARY"
"624",631,"TRUST TERRITORIES"
"625",632,"DEVELOPMENT AID"
"626",633,"AGRARIAN REFORM PROGRAMS"
"627",634,"U.N. EMERGENCY FORCE"
"628",635,"DIPLOMATIC INTERCOURSE AND IMMUNITIES"
"629",636,"DIPLOMATIC INTERCOURSE AND IMMUNITIES"
"630",637,"KOREA, INDEPENDENCE"
"631",638,"INDIANS IN SOUTH AFRICA"
"632",639,"GENERAL ASSEMBLY PRESIDENT ELECTIONS"
